 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, rowcost
D aeolian (2#), 1+0:0:0:0:0, 5+0:3:0:0:0, 4+0:2:0:0:0, 3+0:2:0:0:0, 7+0:3:0:0:0, 7+0:5:0:0:2, 7+0:5:0:0:2, 5+0:3:0:0:1, 2+0:0:0:0:0, 5+0:3:0:0:1, 5+0:3:0:0:0, 5+0:3:0:0:1, 4+0:3:0:0:0, 60+0:35:0:0:7
Bb locrian (2b), 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:1:0:0:1, 14+0:1:0:0:2
D locrian (2#), 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:1, 5+0:0:0:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 39+0:0:0:0:4
Eb major (3b), 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:1, 15+0:1:0:0:1
A major (3#), 1+0:0:0:0:0, 6+0:3:0:0:1, 3+0:1:0:0:0, 2+0:1:0:0:0, 8+0:3:0:0:1, 8+0:5:0:0:3, 7+0:5:0:0:3, 5+0:3:0:0:2, 2+0:0:0:0:0, 5+0:3:0:0:1, 4+0:2:0:0:0, 5+0:3:0:0:2, 3+0:2:0:0:0, 59+0:31:0:0:13
C minor (3b), 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:1, 25+0:1:0:0:4
F# minor (3#), 0+0:0:0:0:0, 6+0:3:0:0:5, 2+0:0:0:0:1, 2+0:0:0:0:1, 8+0:3:0:0:5, 8+0:5:0:0:7, 7+0:5:0:0:7, 5+0:3:0:0:5, 1+0:0:0:0:1, 5+0:3:0:0:4, 4+0:1:0:0:3, 5+0:3:0:0:5, 3+0:1:0:0:2, 56+0:27:0:0:46
C minor mel (3b), 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:1, 31+0:1:0:0:4
F# minor mel (3#), 0+0:0:0:0:0, 7+0:3:0:0:5, 3+0:0:0:0:1, 3+0:0:0:0:1, 9+0:3:0:0:5, 8+0:5:0:0:7, 7+0:5:0:0:7, 5+0:3:0:0:5, 1+0:0:0:0:1, 5+0:3:0:0:4, 4+0:1:0:0:3, 5+0:3:0:0:5, 3+0:1:0:0:2, 60+0:27:0:0:46
Eb major blues (3b), 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:2, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 30+0:1:0:0:3
A major blues (3#), 1+0:0:0:0:0, 7+0:3:0:0:2, 5+0:0:0:0:0, 4+0:1:0:0:0, 9+0:3:0:0:2, 8+0:5:0:0:4, 7+0:5:0:0:4, 5+0:3:0:0:2, 2+0:0:0:0:0, 5+0:3:0:0:2, 5+0:2:0:0:1, 5+0:3:0:0:2, 5+0:2:0:0:1, 68+0:30:0:0:20
C minor blues (3b), 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:2, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 30+0:1:0:0:3
F# minor blues (3#), 1+0:0:0:0:0, 7+0:3:0:0:2, 5+0:0:0:0:0, 4+0:1:0:0:0, 9+0:3:0:0:2, 8+0:5:0:0:4, 7+0:5:0:0:4, 5+0:3:0:0:2, 2+0:0:0:0:0, 5+0:3:0:0:2, 5+0:2:0:0:1, 5+0:3:0:0:2, 5+0:2:0:0:1, 68+0:30:0:0:20
Eb dorian (3b), 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 21+0:0:0:0:4
A dorian (3#), 1+0:0:0:0:0, 7+0:3:0:0:2, 4+0:0:0:0:0, 3+0:1:0:0:0, 9+0:3:0:0:2, 8+0:5:0:0:4, 7+0:5:0:0:4, 5+0:3:0:0:2, 2+0:0:0:0:0, 5+0:3:0:0:2, 4+0:2:0:0:1, 5+0:3:0:0:2, 3+0:2:0:0:1, 63+0:30:0:0:20
Eb phrygian (3b), 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:1:0:0:1, 14+0:1:0:0:2
A phrygian (3#), 1+0:0:0:0:0, 5+0:3:0:0:0, 4+0:2:0:0:0, 3+0:2:0:0:0, 7+0:3:0:0:0, 7+0:5:0:0:2, 7+0:5:0:0:2, 5+0:3:0:0:1, 2+0:0:0:0:0, 5+0:3:0:0:1, 5+0:3:0:0:0, 5+0:3:0:0:1, 4+0:3:0:0:0, 60+0:35:0:0:7
Eb lydian (3b), 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 21+0:0:0:0:4
A lydian (3#), 1+0:0:0:0:0, 7+0:3:0:0:2, 4+0:0:0:0:0, 3+0:1:0:0:0, 9+0:3:0:0:2, 8+0:5:0:0:4, 7+0:5:0:0:4, 5+0:3:0:0:2, 2+0:0:0:0:0, 5+0:3:0:0:2, 4+0:2:0:0:1, 5+0:3:0:0:2, 3+0:2:0:0:1, 63+0:30:0:0:20
Eb mixolydian (3b), 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:1:0:0:1, 14+0:1:0:0:2
