 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, rowcost
Bb dorian (2b), 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 7+2:0:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 4+1:0:0:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:1, 8+0:0:0:0:2, 1+0:0:0:0:0, 51+3:0:3:0:10
D dorian (2#), 6+0:3:0:0:1, 5+0:3:0:0:1, 3+0:2:0:0:0, 8+0:4:1:0:4, 6+0:3:0:0:1, 5+0:3:0:0:1, 3+0:2:0:0:0, 9+2:4:0:0:3, 4+0:2:0:0:1, 6+0:3:0:0:1, 6+0:4:1:0:3, 7+1:2:0:0:1, 4+0:2:0:0:1, 4+0:2:0:0:0, 8+0:5:1:0:3, 11+0:4:0:0:1, 3+0:1:0:0:0, 98+3:49:3:0:22
Bb phrygian (2b), 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 5+0:1:1:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 5+2:2:0:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:1:0:1, 4+1:2:0:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:1:0:1, 8+0:1:0:0:1, 1+0:0:0:0:0, 28+3:6:3:0:9
D phrygian (2#), 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 7+0:0:1:0:2, 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 9+2:0:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:1:0:1, 5+1:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 7+0:0:1:0:1, 9+0:0:0:0:1, 2+0:0:0:0:0, 75+3:0:3:0:9
Bb lydian (2b), 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 7+2:0:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 4+1:0:0:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:1, 8+0:0:0:0:2, 1+0:0:0:0:0, 51+3:0:3:0:10
D lydian (2#), 6+0:3:0:0:1, 5+0:3:0:0:1, 3+0:2:0:0:0, 8+0:4:1:0:4, 6+0:3:0:0:1, 5+0:3:0:0:1, 3+0:2:0:0:0, 9+2:4:0:0:3, 4+0:2:0:0:1, 6+0:3:0:0:1, 6+0:4:1:0:3, 7+1:2:0:0:1, 4+0:2:0:0:1, 4+0:2:0:0:0, 8+0:5:1:0:3, 11+0:4:0:0:1, 3+0:1:0:0:0, 98+3:49:3:0:22
Bb mixolydian (2b), 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 5+0:1:1:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 5+2:2:0:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:1:0:1, 4+1:2:0:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:1:0:1, 8+0:1:0:0:1, 1+0:0:0:0:0, 28+3:6:3:0:9
D mixolydian (2#), 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 7+0:0:1:0:2, 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 9+2:0:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:1:0:1, 5+1:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 7+0:0:1:0:1, 9+0:0:0:0:1, 2+0:0:0:0:0, 75+3:0:3:0:9
Bb aeolian (2b), 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 6+0:0:1:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 6+2:0:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:1, 3+1:0:0:0:2, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:1:0:1, 7+0:0:0:0:2, 0+0:0:0:0:0, 36+3:0:3:0:10
D aeolian (2#), 5+0:3:0:0:0, 4+0:3:0:0:0, 2+0:2:0:0:0, 7+0:4:1:0:3, 5+0:3:0:0:0, 4+0:3:0:0:0, 2+0:2:0:0:0, 8+2:4:0:0:2, 3+0:2:0:0:0, 5+0:3:0:0:0, 5+0:4:1:0:2, 6+1:2:0:0:1, 3+0:2:0:0:0, 3+0:2:0:0:0, 7+0:5:1:0:2, 10+0:4:0:0:2, 3+0:1:0:0:0, 82+3:49:3:0:12
Bb locrian (2b), 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:1:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+2:2:0:0:2, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:1:0:0, 4+1:2:0:0:2, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:0, 7+0:1:0:0:2, 1+0:0:0:0:0, 29+3:6:3:0:7
D locrian (2#), 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:1:0:2, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 8+2:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:1:0:1, 5+1:0:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:1:0:1, 9+0:0:0:0:2, 1+0:0:0:0:0, 64+3:0:3:0:10
Eb major (3b), 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 5+0:1:1:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 5+2:2:0:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:1:0:1, 4+1:2:0:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:1:0:1, 8+0:1:0:0:1, 1+0:0:0:0:0, 28+3:6:3:0:9
